,conc_water,conc_co2,conc_nh3,r_1,g_1,b_1,r_4,g_4,b_4,r_23,g_23,b_23,r_145,g_145,b_145
1000_0_0_0,0.0,10,0,171.81843971631207,168.0695035460993,200.53191489361703,221.58861788617887,212.74634146341464,228.29918699186996,155.9135802469136,204.2798353909465,231.9135802469136,253.51282051282053,237.03076923076924,120.35042735042737
1000_0_0_1,0.0,10,0,172.65106382978723,168.090780141844,200.53191489361703,222.3284552845529,212.7089430894309,227.88292682926829,156.07407407407408,203.51851851851853,232.85185185185188,253.45811965811967,237.1179487179487,119.64786324786324
1000_0_0_2,0.0,10,0,172.09787234042554,168.0695035460993,200.28936170212768,221.82276422764227,212.45528455284557,228.6130081300813,156.02880658436214,203.34979423868316,232.85185185185188,253.51282051282053,237.0871794871795,120.35042735042737
1000_0_0_3,0.0,10,0,172.5390070921986,167.86808510638298,199.59290780141845,221.82276422764227,212.4,227.91869918699183,156.07407407407408,204.01646090534985,233.3497942386832,253.43076923076924,236.76068376068372,118.62735042735042
1000_0_0_4,0.0,10,0,172.48794326241136,168.15460992907802,200.53191489361703,221.49268292682927,212.42439024390245,228.15121951219515,155.53497942386832,203.4897119341564,233.0905349794239,253.51282051282053,236.8188034188034,119.26153846153846
1000_0_0_5,0.0,10,0,172.16595744680853,168.03829787234045,200.13191489361705,221.5235772357724,212.42439024390245,227.7918699186992,155.97119341563788,203.8683127572017,232.0658436213992,253.5931623931624,237.2615384615385,119.4888888888889
1000_0_0_6,0.0,10,0,171.91205673758867,168.06099290780142,200.1347517730497,221.5235772357724,212.7089430894309,228.38536585365853,155.19341563786008,203.34979423868316,232.85185185185188,253.3880341880342,237.15042735042732,120.11965811965813
1000_0_0_7,0.0,10,0,172.16595744680853,167.8780141843972,200.13191489361705,222.20975609756096,212.45528455284557,227.88292682926829,155.42798353909467,203.48559670781896,233.5761316872428,253.51282051282053,236.68205128205128,119.44444444444444
1000_0_0_8,0.0,10,0,172.16595744680853,168.08652482269505,200.44113475177303,221.4162601626016,212.74634146341464,228.20162601626012,155.00823045267492,203.9423868312757,232.6090534979424,253.48717948717947,237.03760683760683,119.4888888888889
1000_0_0_9,0.0,10,0,171.6808510638298,168.08652482269505,199.91489361702128,221.82276422764227,212.72357723577235,228.6910569105691,156.45267489711935,203.34979423868316,232.6502057613169,253.48717948717947,236.68205128205128,120.11282051282052
2000_0_0_0,0.0,20,0,171.43971631205676,168.42695035460994,201.5404255319149,221.9268292682927,213.5121951219512,226.97073170731707,153.99588477366257,207.65432098765436,229.37448559670784,253.56752136752135,237.44273504273505,119.0974358974359
2000_0_0_1,0.0,20,0,172.42695035460994,168.67375886524823,200.02553191489363,221.469918699187,213.5788617886179,227.9008130081301,153.34156378600824,207.25925925925927,230.3703703703704,253.4564102564103,237.55555555555557,119.72478632478632
2000_0_0_2,0.0,20,0,171.43971631205676,168.92340425531916,200.7234042553192,221.40325203252036,213.35284552845528,227.9008130081301,153.96707818930042,207.7777777777778,230.20576131687244,253.5794871794872,237.65128205128204,119.65811965811966
2000_0_0_3,0.0,20,0,172.13475177304966,168.2595744680851,200.5631205673759,221.6260162601626,213.3284552845529,227.7089430894309,153.96707818930042,207.53909465020575,228.45267489711932,253.6974358974359,237.38119658119655,119.3863247863248
2000_0_0_4,0.0,20,0,172.04822695035463,168.47659574468085,200.8070921985816,221.82439024390243,213.2130081300813,227.69430894308945,153.4238683127572,206.69547325102883,229.5308641975309,253.65299145299144,237.67521367521368,119.65811965811966
2000_0_0_5,0.0,20,0,172.42695035460994,168.22695035460995,200.67517730496456,221.82439024390243,213.2130081300813,226.9821138211382,153.0987654320988,207.31687242798355,229.5308641975309,253.65299145299144,237.56068376068376,119.95555555555556
2000_0_0_6,0.0,20,0,171.23971631205674,168.24822695035462,200.8326241134752,221.4406504065041,212.96747967479675,226.82439024390243,153.96707818930042,207.65432098765436,229.70370370370367,253.55726495726492,237.34188034188037,119.8923076923077
2000_0_0_7,0.0,20,0,172.10354609929078,168.47659574468085,200.02553191489363,221.32682926829267,213.3869918699187,227.24552845528456,153.99588477366257,207.31687242798355,229.5308641975309,253.5367521367521,237.1094017094017,119.88547008547008
2000_0_0_8,0.0,20,0,171.47659574468085,168.59148936170214,200.02553191489363,221.40325203252036,213.40650406504065,227.71544715447155,153.18930041152265,207.00000000000003,229.71604938271608,253.5794871794872,237.65128205128204,119.63589743589743
2000_0_0_9,0.0,20,0,171.43971631205676,168.22695035460995,200.5631205673759,221.32682926829267,213.7252032520325,227.9008130081301,153.18930041152265,207.00000000000003,229.5308641975309,253.65299145299144,237.3059829059829,119.0974358974359
0_100_0_0,0.0,0,1,193.6780141843972,195.8808510638298,203.40567375886525,225.51382113821137,211.6130081300813,227.44878048780487,226.57201646090536,209.2880658436214,224.0576131687243,243.9025641025641,186.33333333333331,138.52307692307693
0_100_0_1,0.0,0,1,196.7631205673759,195.6992907801419,202.25957446808516,226.26341463414636,211.56585365853655,228.09756097560972,224.48559670781896,208.5925925925926,224.0123456790124,242.92307692307693,185.30769230769232,138.4051282051282
0_100_0_2,0.0,0,1,194.1460992907801,196.86382978723407,203.75602836879435,226.26341463414636,211.62926829268287,227.44878048780487,223.50205761316877,208.79835390946505,224.0123456790124,243.9025641025641,177.8034188034188,137.57606837606838
0_100_0_3,0.0,0,1,193.336170212766,195.21843971631208,203.12198581560284,226.09268292682927,211.5739837398374,228.92845528455285,225.045267489712,209.1604938271605,224.0576131687243,246.47521367521367,186.5162393162393,138.4051282051282
0_100_0_4,0.0,0,1,193.1617021276596,197.42695035460997,202.25957446808516,225.85365853658536,211.63252032520325,228.34471544715447,225.14814814814815,208.6502057613169,224.3045267489712,243.85811965811965,186.33333333333331,136.83760683760684
0_100_0_5,0.0,0,1,191.4397163120568,199.0695035460993,204.3063829787234,226.06341463414637,211.40162601626017,229.5609756097561,224.11522633744855,208.6748971193416,223.23045267489715,245.2871794871795,185.30769230769232,138.82905982905982
0_100_0_6,0.0,0,1,193.336170212766,197.42695035460997,204.3063829787234,227.2650406504065,211.65365853658537,228.97886178861788,224.38271604938276,208.6502057613169,221.4567901234568,245.2871794871795,186.33333333333331,138.93162393162393
0_100_0_7,0.0,0,1,192.8709219858156,196.86382978723407,203.14326241134756,226.12845528455284,212.0260162601626,229.35934959349592,224.11522633744855,208.79012345679016,223.23045267489715,244.165811965812,186.0888888888889,138.93162393162393
0_100_0_8,0.0,0,1,197.69503546099293,195.8808510638298,204.05957446808512,226.2048780487805,211.5707317073171,228.33821138211383,224.39917695473247,208.6584362139918,221.4567901234568,244.582905982906,191.2153846153846,137.94358974358974
0_100_0_9,0.0,0,1,193.38014184397164,195.6992907801419,204.05957446808512,226.2048780487805,211.469918699187,228.34471544715447,225.045267489712,208.79012345679016,222.93827160493828,244.7333333333333,186.96752136752136,139.4854700854701
500_200_0_0,0.0,5,2,210.76453900709225,205.622695035461,203.36453900709225,225.77235772357724,210.72032520325203,232.23089430894308,227.51851851851853,207.761316872428,226.5308641975309,237.8051282051282,171.74358974358975,143.66837606837606
500_200_0_1,0.0,5,2,214.2056737588653,205.6808510638298,202.4326241134752,226.7089430894309,211.1691056910569,230.9626016260163,226.8600823045268,207.49382716049385,226.5308641975309,237.03076923076924,171.87008547008546,143.66837606837606
500_200_0_2,0.0,5,2,210.76453900709225,204.6198581560284,202.57304964539009,227.07642276422763,210.4390243902439,231.3918699186992,226.87654320987656,208.3045267489712,225.83127572016463,239.0068376068376,172.30598290598292,144.65641025641025
500_200_0_3,0.0,5,2,211.7503546099291,205.25390070921983,202.4326241134752,227.07479674796747,210.939837398374,231.24552845528456,227.51851851851853,208.38683127572017,225.7695473251029,238.5299145299145,170.95897435897436,145.3863247863248
500_200_0_4,0.0,5,2,212.3971631205674,205.25390070921983,202.83829787234043,227.07642276422763,210.3089430894309,231.67154471544717,226.1604938271605,208.3045267489712,226.01646090534985,238.45299145299143,171.87008547008546,143.67521367521368
500_200_0_5,0.0,5,2,211.82836879432625,205.9645390070922,203.4184397163121,225.89105691056912,210.7918699186992,231.7934959349593,226.2510288065844,208.37448559670784,226.01646090534985,238.4017094017094,171.74358974358975,145.3863247863248
500_200_0_6,0.0,5,2,212.86382978723407,205.6808510638298,203.2780141843972,227.05853658536583,211.0878048780488,230.87479674796748,226.87654320987656,208.37448559670784,225.67901234567904,237.15384615384616,165.27350427350427,145.3863247863248
500_200_0_7,0.0,5,2,210.47517730496452,204.9872340425532,202.7489361702128,226.7089430894309,210.83414634146345,231.26178861788617,226.2510288065844,207.44032921810705,226.01646090534985,238.2153846153846,169.12991452991454,143.66837606837606
